INSERT INTO user (id, avatar, birthday, is_guest, password, rating, status, token, user_settings, username) VALUES
(1,1,'1964-08-04',FALSE,'$2a$10$1JLHCFKBJr/sS5a4OsH2werbW0rt/YWqMRVY5QOoKihqznhflmM5.',29,'ONLINE','616755c5-1694-4029-98f3-d6dd58b3ea55','{}','User1'),
(2,2,'2001-01-07',FALSE,'$2a$10$5EFTA4KK5j2upXboxRsDhuc.POWRkeYPbLBBWorhSU4hJuBZmLfEK',11,'OFFLINE','b49838a9-1b72-421e-8dd5-fca3a5e72353','{}','User2'),
(3,3,'1987-03-31',FALSE,'$2a$10$3lLh9obl1sYg1Qz1FoPP0.tAyKVXV6XjIxYnEqhDiLx2ibzFplQji',16,'OFFLINE','1617867e-faec-4ec1-8ba9-daa05ed93a88','{}','User3'),
(4,4,'1999-03-22',TRUE,'$2a$10$GyjNBrBSqam9C0Rt.cvg9./eMv.QtTfN5eM/KAZpzfc928jp6aH.e',23,'ONLINE','24d0e74a-5bac-432c-ad14-71bb99bc29c0','{}','User4'),
(5,5,'1955-08-16',FALSE,'$2a$10$r8QKiJdbd5emC5Uc5x/rWet5rSjzNQ3MIaZnD.F1MujEeJMY6ZDqG',15,'OFFLINE','39b594b8-9714-490b-8221-b58f2adbe0e3','{}','User5'),
(6,6,null,FALSE,'$2a$10$S6Zw2EA3pOl7hHLQdN6mUu55yq5trIXuwDmL.Jyt9aA66X/FjjpHe',21,'OFFLINE','1374c0f2-e9b5-4da8-97d4-ceb04b6c23de','{}','User6'),
(7,7,'1983-11-26',TRUE,'$2a$10$KB/ObOGQu4LKGwnOFHymrOJyjMygy4iyupyHxMFfZVoVQ6t7oIciq',18,'ONLINE','380d8e36-3a69-4770-b663-afbe1723c20b','{}','User7'),
(8,8,'1967-07-11',FALSE,'$2a$10$QEaELUrp3Pq0k/P4JzKo5ef1yzJhdGI3aMarzAPEmVVumJRG7.syG',21,'OFFLINE','3689b471-df70-403f-9cc4-5261f2f8f89b','{}','User8'),
(9,9,null,FALSE,'$2a$10$oMjFcOwjr5vmEBovKUQd5eKFhL5lHEzXl6ngbnyuSDDPDWiDtJ9A2',5,'OFFLINE','1c8518d3-407e-4f83-b7f3-7bbb722c9ac7','{}','User9'),
(10,10,'1954-10-07',FALSE,'$2a$10$kGO21beG5ziYil5QG9KygumfoQKi5rhSqUFiIItAa8g1M8hLi8.Aq',25,'ONLINE','128d3fcf-687e-4087-9086-dd9db8918e4d','{}','Anna'),
(11,11,'2003-12-08',FALSE,'$2a$10$otncFUWJa7CQA7iqrSthwu12DEtAzH5h4nqPMSi0nM5xXuGhULqZS',14,'OFFLINE','7841901e-0b2f-45fa-90be-517cfad6a141','{}','Bea'),
(12,12,'1976-10-07',FALSE,'$2a$10$zF0Fa76RRtf4yM8x040/eeXV7lnqwaSAV5b4f38YuhZBI7D9Vv4hy',4,'OFFLINE','5121cfb2-2a7f-4004-969f-0d12e35aae2f','{}','Charlie'),
(13,13,null,FALSE,'$2a$10$cjhk02yEtmRT/NtKz76KM.IpPr/nahjY.Y/1P40MHXqMUopFNe/l2',3,'ONLINE','331f6b72-85f5-46a5-ad0b-97b9bdacd290','{}','Donna'),
(14,14,'1991-06-18',FALSE,'$2a$10$oR8l3HsaIqBfCcqu/.DQNOe8HPvY1.NL3RI8Uabya9k50uZWNsDBu',3,'OFFLINE','fc26ba3e-ab28-4e19-841d-95311debd167','{}','Eric'),
(15,15,'1985-09-23',FALSE,'$2a$10$h02APqTbpJVMCnHiYNJr0eyTRtqWCllovm6hkOUL5d58EpsmZuhv2',17,'OFFLINE','3f7ea080-168c-48e8-bd0d-89cccc85e37b','{}','Frank'),
(16,16,'1990-08-07',FALSE,'$2a$10$DUtNYOIz7DMuLVveG2oM0u2xS4BBXBMsAPLH6pPql3OXrS1NWc6uq',14,'ONLINE','6c068aca-448b-41e5-a0fa-5bb8916629e4','{}','Georgia'),
(17,17,'1974-05-09',FALSE,'$2a$10$J/UthWeKN5ZQ7Qd0EVBsXuKJNdvnkZj6TYGEY8fsdOwZRZuCPq63K',25,'OFFLINE','168aaf63-7b16-460b-a60d-bccd145e8198','{}','Harold'),
(18,18,null,FALSE,'$2a$10$/rrGAR4KS7LtnLGkFd6DsOpckINrlO59AwhJ/Hp8Iw/RUAhHcbVFW',9,'OFFLINE','a185bf89-6333-4159-9c5b-21f82a9fa5a3','{}','Ian'),
